Disease,Avoid Ingredients (with synonyms)
Kidney Disease,"High phosphorus (e.g., bone meal, fish meal), high sodium (e.g., salt, sodium chloride), low-quality proteins (e.g., meat by-products)"
Liver Disease,"High fat (animal fat, beef tallow), copper-rich foods (liver, shellfish), preservatives (BHA, BHT, ethoxyquin)"
Pancreatitis,"High fat (lard, poultry fat), greasy meats (bacon, sausage), coconut oil, organ meats (liver, kidney)"
Heart Disease,"High sodium (salt, soy sauce, broths), legumes (peas, lentils, chickpeas), white potatoes"
Diabetes,"Simple sugars (sucrose, dextrose), corn syrup, high-glycemic carbs (white rice, white flour)"
Food Allergies,"Common allergens (chicken, beef, dairy, wheat, soy, corn), artificial dyes (Red 40, Blue 2), flavor enhancers"
Obesity,"High fat (animal fat, duck fat), fillers (corn gluten meal, wheat middlings), high-calorie binders (molasses)"
Urinary Stones,"High oxalate (spinach, sweet potato), calcium (bone meal, dairy), phosphorus (fish meal), magnesium (brown rice)"
Skin Conditions,"Artificial colors (Red 40, Yellow 5), preservatives (BHA, ethoxyquin), low-grade meats (meat by-products)"
Joint Disease,"Calcium excess (bone meal), grains (corn, wheat), caloric overload (oils, sugars)"
IBD (Inflammatory Bowel Disease),"Grains (barley, wheat), artificial additives (propylene glycol, carrageenan), gluten, animal by-products"
Cancer,"Processed meats (hot dogs, deli meats), preservatives (nitrates, BHT), sugar fillers (corn syrup)"
Hypothyroidism,"Soy, gluten (wheat, barley), goitrogens (raw broccoli, kale, cabbage)"
Epilepsy,"Gluten, artificial preservatives (BHA, BHT), food dyes (Yellow 5, Blue 1)"
Dental Disease,"Sticky carbs (rice syrup, molasses), sugary snacks (honey, glucose), bones (cooked, brittle)"
Gastrointestinal Issues,"High fat, dairy (milk, cheese, whey), spicy foods (pepper, chili powder), bones"
Anemia,"Allium plants (onions, garlic, leeks, chives), sulfides"
Allergic Dermatitis,"Food allergens (chicken, soy, grains), additives (colorings, artificial flavors)"
Hyperlipidemia,"Fatty foods (cream, fatty meats), triglyceride-rich foods (eggs, cheese)"
Cushing's Disease,"High-fat, salty foods (snacks, cured meats), high-sodium broth"
