Base Ingredient,Synonym/Name,Allergy Risk,Category,Potential Symptoms
Beef,beef meal,High to Medium,Meat/Protein,"Itchy skin, ear infections, vomiting, diarrhea"
Beef,Beef,High to Medium,Meat/Protein,"Itchy skin, ear infections, vomiting, diarrhea"
Chicken,chicken meal,High to Medium,Meat/Protein,"Itchy skin, ear infections, vomiting, diarrhea"
Chicken,poultry,High to Medium,Meat/Protein,"Itchy skin, ear infections, vomiting, diarrhea"
Chicken,chicken fat,High to Medium,Meat/Protein,"Itchy skin, ear infections, vomiting, diarrhea"
Chicken,Chicken,High to Medium,Meat/Protein,"Itchy skin, ear infections, vomiting, diarrhea"
Turkey,turkey meal,High to Medium,Meat/Protein,"Itchy skin, ear infections, vomiting, diarrhea"
Turkey,Turkey,High to Medium,Meat/Protein,"Itchy skin, ear infections, vomiting, diarrhea"
Duck,duck meal,High to Medium,Meat/Protein,"Itchy skin, ear infections, vomiting, diarrhea"
Duck,Duck,High to Medium,Meat/Protein,"Itchy skin, ear infections, vomiting, diarrhea"
Lamb,lamb meal,High to Medium,Meat/Protein,"Itchy skin, ear infections, vomiting, diarrhea"
Lamb,Lamb,High to Medium,Meat/Protein,"Itchy skin, ear infections, vomiting, diarrhea"
Pork,Pork,High to Medium,Meat/Protein,"Itchy skin, ear infections, vomiting, diarrhea"
Venison,Venison,High to Medium,Meat/Protein,"Itchy skin, ear infections, vomiting, diarrhea"
Rabbit,Rabbit,High to Medium,Meat/Protein,"Itchy skin, ear infections, vomiting, diarrhea"
Kangaroo,Kangaroo,High to Medium,Meat/Protein,"Itchy skin, ear infections, vomiting, diarrhea"
Bison,Bison,High to Medium,Meat/Protein,"Itchy skin, ear infections, vomiting, diarrhea"
Goat,Goat,High to Medium,Meat/Protein,"Itchy skin, ear infections, vomiting, diarrhea"
Quail,Quail,High to Medium,Meat/Protein,"Itchy skin, ear infections, vomiting, diarrhea"
Ostrich,Ostrich,High to Medium,Meat/Protein,"Itchy skin, ear infections, vomiting, diarrhea"
Emu,Emu,High to Medium,Meat/Protein,"Itchy skin, ear infections, vomiting, diarrhea"
Salmon,salmon meal,Medium to Low,Fish/Seafood,"Skin irritation, digestive upset"
Salmon,Salmon,Medium to Low,Fish/Seafood,"Skin irritation, digestive upset"
Tuna,fish meal,Medium to Low,Fish/Seafood,"Skin irritation, digestive upset"
Tuna,Tuna,Medium to Low,Fish/Seafood,"Skin irritation, digestive upset"
Whitefish,white fish meal,Medium to Low,Fish/Seafood,"Skin irritation, digestive upset"
Whitefish,Whitefish,Medium to Low,Fish/Seafood,"Skin irritation, digestive upset"
Herring,Herring,Medium to Low,Fish/Seafood,"Skin irritation, digestive upset"
Sardine,Sardine,Medium to Low,Fish/Seafood,"Skin irritation, digestive upset"
Trout,Trout,Medium to Low,Fish/Seafood,"Skin irritation, digestive upset"
Mackerel,Mackerel,Medium to Low,Fish/Seafood,"Skin irritation, digestive upset"
Anchovy,Anchovy,Medium to Low,Fish/Seafood,"Skin irritation, digestive upset"
Cod,Cod,Medium to Low,Fish/Seafood,"Skin irritation, digestive upset"
Pollock,Pollock,Medium to Low,Fish/Seafood,"Skin irritation, digestive upset"
Milk,milk powder,Medium,Dairy Products,"Diarrhea, vomiting, skin irritation"
Milk,Milk,Medium,Dairy Products,"Diarrhea, vomiting, skin irritation"
Cheese,cheddar,Medium,Dairy Products,"Diarrhea, vomiting, skin irritation"
Cheese,Cheese,Medium,Dairy Products,"Diarrhea, vomiting, skin irritation"
Yogurt,probiotic dairy,Medium,Dairy Products,"Diarrhea, vomiting, skin irritation"
Yogurt,Yogurt,Medium,Dairy Products,"Diarrhea, vomiting, skin irritation"
Whole Eggs,Whole Eggs,Medium,Eggs,"Skin inflammation, gastrointestinal issues"
Egg Whites,albumin,Medium,Eggs,"Skin inflammation, gastrointestinal issues"
Egg Whites,Egg Whites,Medium,Eggs,"Skin inflammation, gastrointestinal issues"
Egg Yolks,Egg Yolks,Medium,Eggs,"Skin inflammation, gastrointestinal issues"
Wheat,wheat flour,Medium to Low,Grains/Carbohydrates,"Gas, indigestion, skin irritation"
Wheat,Wheat,Medium to Low,Grains/Carbohydrates,"Gas, indigestion, skin irritation"
Corn,corn gluten,Medium to Low,Grains/Carbohydrates,"Gas, indigestion, skin irritation"
Corn,Corn,Medium to Low,Grains/Carbohydrates,"Gas, indigestion, skin irritation"
Rice,brewer's rice,Medium to Low,Grains/Carbohydrates,"Gas, indigestion, skin irritation"
Rice,Rice,Medium to Low,Grains/Carbohydrates,"Gas, indigestion, skin irritation"
Barley,Barley,Medium to Low,Grains/Carbohydrates,"Gas, indigestion, skin irritation"
Oats,Oats,Medium to Low,Grains/Carbohydrates,"Gas, indigestion, skin irritation"
